Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.9636465324384788,0.5823754789272031,0.8786127167630058,0.7004608294930875
Naive Bayes,0.9692393736017897,0.8795180722891566,0.42196531791907516,0.5703125
Linear SVM,0.9784675615212528,0.74,0.8554913294797688,0.7935656836461126
Random Forest,0.9809843400447428,0.9411764705882353,0.6473988439306358,0.7671232876712328
